"model","method","aic"
"sph","ML",528.661762367154
"sph","REML",512.988713793683
"exp","ML",529.343160464752
"exp","REML",513.015747560792
"gau","ML",532.361548650556
"gau","REML",517.393080449261
"wave","ML",535.475938510667
"wave","REML",520.704949011354
