"var1.pred","var1.var","observed","residual","zscore","fold","Longitud","Latitud"
582.280916453,145661.067139937,275.78867083,-306.492245623,-0.803059543322793,1,-65.934759,-22.942932
588.994183019,145661.067139937,675.75004309,86.7558600710001,0.227314466725175,2,-65.10304,-24.448191
586.802689464667,145661.067139937,809.84925975,223.046570285333,0.58441829909583,3,-65.447052,-24.081564
599.292126234666,145661.067139937,296.85579186,-302.436334374666,-0.792432396041387,4,-65.404287,-23.074633
603.325716245333,145661.067139937,1028.55378427,425.228068024667,1.11416671381619,5,-64.815613,-23.782185
606.625157922,145661.067139937,979.06766059,372.442502668,0.975859945489327,6,-65.126449,-24.194924
583.350103694667,145661.067139937,243.71305358,-339.637050114667,-0.88990432304796,7,-66.542062,-22.621683
581.509634803333,145661.067139937,900.28648956,318.776854756667,0.835247217698465,8,-65.448075,-24.347975
635.805867031333,145661.067139937,752.86977815,117.063911118667,0.306726490947417,9,-64.809997,-24.299136
639.355083284,145661.067139937,820.57299631,181.217913026,0.474820412440635,10,-64.398444,-24.011515
593.880078860333,145661.067139937,354.05388792,-239.826190940333,-0.628383634900472,11,-66.226869,-22.137102
568.196287999333,145661.067139937,92.91016046,-475.286127539333,-1.24532697312964,12,-66.663037,-23.520298
613.461879396333,145661.067139937,517.90523787,-95.5566415263335,-0.250373945838709,13,-65.320016,-23.560401
592.530853437333,145661.067139937,236.13729105,-356.393562387333,-0.933809111131645,14,-65.698526,-23.738567
609.434032947667,145661.067139937,739.41286229,129.978829342333,0.340565677676814,15,-65.012202,-23.464113
599.738400344333,145661.067139937,384.13979953,-215.598600814333,-0.564903407455079,16,-65.565318,-22.290687
624.987229085,145661.067139937,665.78086496,40.7936358750002,0.106885962252206,17,-63.841613,-24.874105
553.055948393667,145661.067139937,187.01313888,-366.042809513667,-0.959091708330575,18,-66.196677,-25.048153
568.713115287666,145661.067139937,228.68010451,-340.033010777667,-0.890941804399425,19,-65.886484,-26.120228
549.596480281,145661.067139937,802.17915471,252.582674429,0.661807696850197,20,-65.271168,-24.891233
554.779849439333,145661.067139937,646.67807996,91.8982305206669,0.240788313857952,21,-65.40228,-24.992463
552.868361333,145661.067139937,704.02272315,151.154361817,0.39604901757064,22,-65.604715,-25.145602
589.561090928666,145661.067139937,611.63423948,22.0731485513336,0.0578352400377986,23,-64.957769,-24.762051
617.058839311666,145661.067139937,783.60084132,166.542002008333,0.436367138114765,24,-63.657085,-22.712121
559.820932015,145661.067139937,495.44560269,-64.3753293249999,-0.168673835332783,25,-65.453713,-25.705207
598.993435617333,145661.067139937,1052.6307822,453.637346582667,1.18860364522548,26,-64.902911,-22.795798
552.296863473333,145661.067139937,952.71895177,400.422088296667,1.04917101152183,27,-65.443052,-24.563273
553.746869667333,145661.067139937,677.66747312,123.920603452667,0.324692140300973,28,-65.206749,-26.051685
541.740541315333,145661.067139937,149.43281391,-392.307727405333,-1.02791006595205,29,-66.216048,-24.177035
561.004275143667,145661.067139937,459.94530883,-101.058966313667,-0.264790931893112,30,-65.581844,-25.440848
528.195576430667,145661.067139937,44.237378,-483.958198430667,-1.26804920962701,31,-67.350037,-24.646343
568.913384120333,145661.067139937,690.37941886,121.466034739667,0.318260770966622,32,-64.598778,-25.432387
554.810471340333,145661.067139937,134.37745048,-420.433020860333,-1.10160291019312,33,-66.455509,-25.61471
616.939845913,145661.067139937,787.17064328,170.230797367,0.446032382043272,34,-64.152803,-23.489636
664.375409642666,145661.067139937,560.61753979,-103.757869852666,-0.271862498219679,35,-62.82821,-23.52053
568.123436930666,145661.067139937,714.07783455,145.954397619334,0.382424265448821,36,-64.728602,-25.879394
548.947134709333,145661.067139937,310.27754941,-238.669585299333,-0.625353139965835,37,-65.85031,-24.534301
553.350270445,145661.067139937,178.18347734,-375.166793105,-0.982998029618564,38,-66.149529,-25.822771
600.400116959667,145661.067139937,1010.43034193,410.030224970333,1.07434589264698,39,-64.892225,-22.361294
